Experiment,Epochs,Batch Size,Learning Rate,Warmup Steps,Loss Function,MRR,nDCG,Precision@1,Time(s)
63,4,16,2e-05,100,MultipleNegativesRankingLoss,0.6665426587301587,0.7464001594732205,0.5208333333333334,15.915622234344482
64,4,16,2e-05,100,CosineSimilarityLoss,0.5706819800569801,0.6698663992186388,0.4166666666666667,15.983597993850708
65,4,16,2e-05,200,MultipleNegativesRankingLoss,0.6405588624338624,0.7267820108681917,0.4791666666666667,16.008979082107544
66,4,16,2e-05,200,CosineSimilarityLoss,0.565435606060606,0.6659486504892508,0.4166666666666667,17.875954151153564
67,4,16,5e-05,50,MultipleNegativesRankingLoss,0.6770447530864198,0.7555371761942903,0.5,15.899222135543823
68,4,16,5e-05,50,CosineSimilarityLoss,0.5271674302005184,0.6339791687205434,0.375,18.22873020172119
69,4,16,5e-05,100,MultipleNegativesRankingLoss,0.7146730006105005,0.7828767926742634,0.5833333333333334,15.996828556060791
70,4,16,5e-05,100,CosineSimilarityLoss,0.541700487012987,0.6479068572322527,0.3541666666666667,19.686903476715088
71,4,16,5e-05,200,MultipleNegativesRankingLoss,0.6630704365079365,0.7445953556646904,0.5,16.19008207321167
72,4,16,5e-05,200,CosineSimilarityLoss,0.5493516984785367,0.6539357891306281,0.375,15.875097751617432
73,5,8,1e-05,50,MultipleNegativesRankingLoss,0.6602347883597883,0.7429487978418668,0.4791666666666667,24.676522493362427
74,5,8,1e-05,50,CosineSimilarityLoss,0.5368835736023235,0.6443960219621658,0.3541666666666667,23.503473043441772
75,5,8,1e-05,100,MultipleNegativesRankingLoss,0.6613921957671958,0.7428286392241716,0.5,25.248131275177002
76,5,8,1e-05,100,CosineSimilarityLoss,0.5387532317219818,0.6458375838895639,0.3541666666666667,25.03228783607483
77,5,8,1e-05,200,MultipleNegativesRankingLoss,0.6410796957671957,0.7273057773709297,0.4791666666666667,22.969511032104492
78,5,8,1e-05,200,CosineSimilarityLoss,0.5450321669071669,0.6502909356107315,0.375,23.755303144454956
79,5,8,2e-05,50,MultipleNegativesRankingLoss,0.702662037037037,0.7741121556609869,0.5625,22.987237453460693
80,5,8,2e-05,50,CosineSimilarityLoss,0.5681107172375555,0.667510176387926,0.4166666666666667,22.97172498703003
81,5,8,2e-05,100,MultipleNegativesRankingLoss,0.6817956349206349,0.7576061965276798,0.5416666666666666,25.37970495223999
82,5,8,2e-05,100,CosineSimilarityLoss,0.5376040132933515,0.6448082194353143,0.3541666666666667,22.876391887664795
83,5,8,2e-05,200,MultipleNegativesRankingLoss,0.6775545634920634,0.754261028021574,0.5416666666666666,24.86808490753174
